image,text
000007.jpg,000007.txt
000026.jpg,000026.txt
000032.jpg,000032.txt
000033.jpg,000033.txt
000034.jpg,000034.txt
000035.jpg,000035.txt
000036.jpg,000036.txt
000042.jpg,000042.txt
000089.jpg,000089.txt
000091.jpg,000091.txt
000104.jpg,000104.txt
000112.jpg,000112.txt
000122.jpg,000122.txt
000129.jpg,000129.txt
000133.jpg,000133.txt
000134.jpg,000134.txt
000187.jpg,000187.txt
000189.jpg,000189.txt
000192.jpg,000192.txt
000193.jpg,000193.txt
000194.jpg,000194.txt
000198.jpg,000198.txt
000200.jpg,000200.txt
000207.jpg,000207.txt
000209.jpg,000209.txt
000164.jpg,000164.txt
000171.jpg,000171.txt
000173.jpg,000173.txt
000174.jpg,000174.txt
000187.jpg,000187.txt
000189.jpg,000189.txt
000192.jpg,000192.txt
000193.jpg,000193.txt
000194.jpg,000194.txt
000198.jpg,000198.txt
000200.jpg,000200.txt
000207.jpg,000207.txt
000209.jpg,000209.txt
000219.jpg,000219.txt
000220.jpg,000220.txt
000222.jpg,000222.txt
000225.jpg,000225.txt
000228.jpg,000228.txt
000235.jpg,000235.txt
000242.jpg,000242.txt
000250.jpg,000250.txt
000256.jpg,000256.txt
000259.jpg,000259.txt
000262.jpg,000262.txt
000263.jpg,000263.txt
000276.jpg,000276.txt
000278.jpg,000278.txt
000282.jpg,000282.txt
000391.jpg,000391.txt
000394.jpg,000394.txt
000395.jpg,000395.txt
000400.jpg,000400.txt
000404.jpg,000404.txt
000406.jpg,000406.txt
000407.jpg,000407.txt
000411.jpg,000411.txt
000416.jpg,000416.txt
000430.jpg,000430.txt
000431.jpg,000431.txt
000438.jpg,000438.txt
000446.jpg,000446.txt
000450.jpg,000450.txt
000454.jpg,000454.txt
000463.jpg,000463.txt
000468.jpg,000468.txt
000469.jpg,000469.txt
000470.jpg,000470.txt
000474.jpg,000474.txt
000476.jpg,000476.txt
000477.jpg,000477.txt
000484.jpg,000484.txt
000489.jpg,000489.txt
000496.jpg,000496.txt
000503.jpg,000503.txt
000508.jpg,000508.txt
000516.jpg,000516.txt
000518.jpg,000518.txt
000519.jpg,000519.txt
000522.jpg,000522.txt
000524.jpg,000524.txt
000525.jpg,000525.txt
000552.jpg,000552.txt
000554.jpg,000554.txt
000555.jpg,000555.txt
000559.jpg,000559.txt
000565.jpg,000565.txt
000577.jpg,000577.txt
000583.jpg,000583.txt
000589.jpg,000589.txt
000590.jpg,000590.txt
000592.jpg,000592.txt
000597.jpg,000597.txt
000605.jpg,000605.txt
000609.jpg,000609.txt
000612.jpg,000612.txt
000620.jpg,000620.txt
000622.jpg,000622.txt
000625.jpg,000625.txt
